Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202100050224;111A 938;A01;1;1;4;1;1996;1;2;6;-1;-1;-1;-1
202100020231;165A 472;A01;1;1;4;1;2000;1;1;5;-1;-1;-1;-1
202100023537;159A 566;A01;9;2;1;1;2013;3;1;-1;-1;0;0;-1
202100027475;152A 617;B01;1;1;4;1;1963;5;1;-1;-1;0;0;-1
202100053906;105A 395;A01;1;1;4;1;1942;5;0;-1;-1;0;0;-1
202100004278;194A 112;A01;1;1;1;1;1984;5;1;8;-1;-1;-1;-1
202100022692;161A 049;B01;1;1;1;1;1990;0;8;-1;-1;-1;-1;-1
202100036414;136A 612;A01;10;3;4;2;1955;0;0;-1;-1;2;3;1
202100006549;190A 093;A01;10;3;2;1;1934;9;8;8;-1;1;3;1
202100036672;136A 161;A01;1;1;4;1;2002;5;2;6;-1;-1;-1;-1
202100010114;183A 627;B01;2;2;4;2;2016;5;1;-1;-1;-1;0;-1
202100016542;172A 060;A01;1;1;4;2;1991;5;1;0;-1;0;0;-1
202100034967;139A 196;A01;1;1;4;1;1995;5;1;8;-1;-1;-1;-1
202100012271;179A 790;B01;1;1;4;1;1982;5;8;0;-1;-1;-1;-1
202100047813;116A 289;A01;1;1;3;1;1971;0;2;6;-1;-1;-1;-1
202100007029;189A 191;B01;1;1;4;1;2001;5;1;0;-1;-1;-1;-1
202100044331;122A 427;B01;7;2;3;2;2015;5;1;3;-1;0;0;-1
202100000018;201A 729;B01;2;2;4;2;1950;5;1;-1;-1;0;0;-1
202100009764;184A 245;A01;1;1;4;2;1940;5;1;0;-1;0;0;-1
202100024681;157A 529;B01;2;2;4;2;2006;5;8;-1;-1;0;0;-1
202100040160;129A 813;B01;1;1;4;1;2001;4;2;6;-1;0;0;-1
202100029403;149A 222;A01;1;1;1;2;1986;0;1;0;-1;-1;-1;-1
202100007990;187A 450;A01;1;1;3;2;2006;2;2;-1;-1;-1;-1;-1
202100023845;159A 004;B01;1;1;1;1;1972;9;1;8;-1;-1;-1;-1
202100050493;111A 442;B01;1;1;1;1;1968;1;1;0;-1;-1;-1;-1
202100040755;128A 761;A01;2;2;4;2;1937;5;1;0;-1;-1;-1;-1
202100037671;134A 321;A01;2;2;4;2;1976;5;2;6;-1;0;0;-1
202100013342;177A 900;B01;1;1;4;1;1990;0;2;6;-1;0;0;-1
202100022729;160A 972;A01;1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
202100009585;184A 573;C01;1;1;1;1;1988;1;1;-1;-1;-1;-1;-1
