Num_Acc;dep;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
202100038326;2B;2;TUNNEL;0;Inconnu;2;2;0;1;1;0;1;-1.0;1;1;1;50
202100010491;77;3;AV VICTOR THIEBAUT;0;Inconnu;2;2;0;1;5;556;1;-1.0;1;5;1;50
202100030471;60;3;37;-1;Inconnu;2;2;0;1;8;950;1;-1.0;1;0;1;80
202100032393;15;3;33;-1;Inconnu;2;2;0;2;16;700;2;-1.0;1;0;1;90
202100017457;34;7;RAYMOND DUGRAND (AVENUE);0;Inconnu;1;2;0;1;0;1;1;-1.0;1;6;1;70
202100047252;75;4;RUE DE SEVRES;0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100025489;94;3;MAXIME GORKI (BD);0;Inconnu;2;2;0;1;0;0;1;-1.0;2;0;6;50
202100009566;59;3;SOLESMES (ROUTE DE);0;Inconnu;2;2;0;2;331;0;2;-1.0;1;0;1;80
202100045635;75;4;BOULEVARD DE MAGENTA;0;Inconnu;3;4;1;2;-1;-1;3;-1.0;1;-1;5;50
202100004350;89;3;277;0;Inconnu;2;2;0;1;0;755;1;-1.0;2;0;1;50
202100053381;26;2;7;0;Inconnu;3;2;0;1;54;351;1;-1.0;1;0;1;70
202100046019;38;3;519;0;D;1;1;0;1;23;200;3;-1.0;1;0;1;50
202100035687;78;3;CHEVREUSE (AVENUE);0;Inconnu;3;4;0;1;17;150;2;-1.0;1;0;4;70
202100034772;10;4;CHARMILLES (MAIL DES);0;Inconnu;1;2;0;1;-1;-1;2;-1.0;1;0;1;50
202100040077;93;3;HUIT-MAI-1945 (AVENUE DU);0;Inconnu;3;4;0;1;0;1;1;-1.0;1;0;1;50
202100042699;75;4;AVENUE DE L HIPPODROME;0;Inconnu;1;1;1;1;-1;-1;3;-1.0;1;-1;5;50
202100017956;14;3;33;0;Inconnu;1;1;0;1;0;0;1;-1.0;1;3;1;50
202100034007;988;4;AVENUE DE LA VICTOIRE H. LAFLEUR;0;Inconnu;3;5;0;1;0;0;1;-1.0;1;5;1;50
202100021536;8;3;981;-1;D;2;2;0;2;-1;-1;1;-1.0;1;0;1;50
202100049146;94;2;MARECHAL DE LATTRE DE TASSIGNY (AV);0;Inconnu;1;2;0;1;19;0;1;-1.0;1;0;1;50
202100012961;21;3;981;-1;Inconnu;2;2;0;1;10;800;3;-1.0;1;0;3;50
202100012060;94;3;ALFORTVILLE (AV D);0;Inconnu;2;2;0;1;0;1;1;-1.0;2;0;1;50
202100015356;75;4;BOULEVARD PEREIRE;0;Inconnu;1;1;0;1;-1;-1;1;-1.0;2;0;1;30
202100021149;50;3;650;-1;Inconnu;2;2;0;1;73;600;1;-1.0;1;5;1;80
202100045851;35;3;37;-1;Inconnu;2;2;0;1;10;488;3;-1.0;1;0;1;50
202100015623;13;2;RTE N113 MARSEILLE A BORBEAUX;0;Inconnu;3;4;0;1;73;500;1;-1.0;1;0;1;110
202100053658;31;3;97;-1;C;2;2;1;2;2;150;2;-1.0;2;2;3;80
202100001339;29;4;712;0;D;2;2;0;1;60;10;1;-1.0;2;0;1;50
202100049915;29;2;165;-1;Inconnu;3;4;0;1;101;600;1;-1.0;1;0;1;110
202100038313;13;4;ROME (RUE DE)        1 A 71A;0;Inconnu;2;2;3;1;0;0;1;-1.0;1;9;6;50
202100002592;77;3;BRIE VPO (ROUTE DE LA);0;Inconnu;1;1;0;1;0;1;3;-1.0;1;3;1;70
202100038460;6;1;8;-1;Inconnu;1;1;0;1;200;129;1;-1.0;1;3;1;50
202100041852;21;1;311;-1;Inconnu;3;4;0;1;31;770;2;-1.0;1;3;8;90
202100010678;94;1;A86 INT;0;Inconnu;1;0;0;1;38;500;1;-1.0;1;0;1;90
202100047429;39;3;52;-1;A;2;2;0;1;1;690;1;-1.0;1;5;1;70
202100037999;49;4;GARE PLACE;0;Inconnu;-1;2;0;1;1;0;1;-1.0;1;0;1;50
202100004604;24;3;28;-1;Inconnu;2;2;0;1;-1;-1;2;-1.0;2;0;1;80
202100007998;69;3;LONGSARD (route de);0;Inconnu;2;2;2;1;1;100;1;-1.0;1;0;1;70
202100030122;13;1;A507 sens Marseille - Aubagne;0;Inconnu;3;4;0;4;8;340;1;-1.0;1;1;1;70
202100046152;93;3;JAURES (AVENUE JEAN);0;Inconnu;-1;2;1;1;0;1;1;-1.0;1;0;5;50
202100033026;80;4;;0;Inconnu;1;1;0;1;-1;-1;1;-1.0;1;0;1;50
202100048482;71;1;39;0;A;3;4;0;1;118;600;1;-1.0;1;0;3;130
202100032011;21;1;6;0;Inconnu;3;5;3;1;286;100;1;-1.0;1;0;6;130
202100035626;974;4;;-1;Inconnu;2;2;0;2;-1;-1;3;4.0;1;0;8;80
202100011494;34;7;21;0;D;2;2;0;2;9;670;1;-1.0;1;0;3;80
202100027090;75;4;RUE FROMENT;0;Inconnu;1;2;2;1;-1;-1;1;-1.0;2;0;5;30
202100008884;9;3;3;0;Inconnu;2;2;0;1;43;500;3;-1.0;1;0;1;50
202100027783;93;4;HENRI MANIGART (RUE);0;Inconnu;2;2;0;1;0;0;1;-1.0;1;0;1;30
202100053832;91;4;GRANDE BROSSE (AVENUE DE LA);0;Inconnu;2;1;0;1;1;0;1;-1.0;1;0;8;50
202100038359;45;4;KENNEDY (RUE J.F);0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100010354;75;4;AVENUE CLAUDE VELLEFAUX;0;Inconnu;2;2;0;2;-1;-1;1;-1.0;2;0;1;30
202100044026;34;4;TOULOUSE (AVENUE DE;0;Inconnu;3;2;3;2;-1;-1;1;-1.0;1;0;1;50
202100006144;68;9;;-1;Inconnu;-1;1;0;1;-1;-1;1;3.0;2;9;1;-1
202100013262;42;7;RD 201;0;Inconnu;1;2;0;1;8;700;1;-1.0;1;0;1;90
202100040862;94;1;A86 INT;0;Inconnu;-1;2;0;1;47;0;3;-1.0;1;0;1;90
202100050030;31;7;PONT NEUF;0;Inconnu;2;2;0;1;1;0;1;-1.0;1;0;1;50
202100033592;38;4;RUE DU BOURGAMON;0;Inconnu;-1;2;0;1;-1;-1;1;-1.0;1;0;1;30
202100006392;95;4;CULTIVATEURS (CHEMIN DES);0;Inconnu;1;1;0;2;-1;-1;1;-1.0;1;0;1;50
202100026623;84;4;FONTCOUVERTE(Avenue de);0;Inconnu;3;2;1;1;0;9;1;-1.0;1;0;1;50
202100035101;14;4;;0;Inconnu;2;2;0;1;-1;-1;1;4.0;1;0;1;50
202100032204;971;2;9;-1;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;9;8;90
202100001772;56;3;781;0;Inconnu;2;2;0;1;15;206;1;-1.0;2;0;8;50
202100052820;39;3;107;-1;Inconnu;2;2;0;2;31;650;1;-1.0;2;0;1;80
202100043877;51;4;CLEMENCEAU (AVENUE GEORGES);0;Inconnu;2;2;0;2;-1;-1;1;-1.0;1;0;1;50
202100053883;6;3;3;0;Inconnu;2;2;0;1;19;332;2;-1.0;1;0;1;50
202100041205;38;3;1091;0;Inconnu;2;1;0;1;-1;-1;3;3.0;2;0;1;70
202100030130;78;1;A12 W;0;Inconnu;3;7;0;1;1;799;1;-1.0;1;0;1;110
202100043476;93;3;HUIT-MAI-1945 (PLACE DU);0;Inconnu;1;2;0;1;0;1;2;-1.0;1;0;1;30
202100023409;80;3;RD 1029 (ROUTE DE ST QUENTIN);0;Inconnu;1;1;0;1;-1;-1;2;-1.0;2;0;1;50
202100023781;31;7;D20;0;Inconnu;2;2;0;1;6;24;2;-1.0;1;0;1;50
202100054656;59;1;AUTOROUTE A25;0;Inconnu;3;4;0;1;11;100;1;-1.0;1;0;1;110
202100023382;17;3;129;-1;Inconnu;2;2;0;1;45;300;1;-1.0;1;0;1;80
202100052180;973;2;2;0;Inconnu;2;2;0;1;4;900;1;-1.0;1;5;1;50
202100042057;75;4;PASSAGE THIERE;0;Inconnu;1;1;2;1;-1;-1;1;-1.0;1;0;5;50
202100049591;974;4;JEAN ALBANI(RUE);0;Inconnu;3;2;0;1;0;0;3;-1.0;1;0;1;50
202100033479;6;3;7;-1;Inconnu;-1;2;0;1;6;79;1;-1.0;1;0;1;80
202100034370;43;2;88;0;Inconnu;2;2;0;1;46;800;3;-1.0;1;0;1;80
202100035013;35;2;NORMANDIE (PORTE DE);0;Inconnu;3;6;0;1;25;264;1;-1.0;1;0;1;90
202100024335;95;3;D10;0;A;2;2;0;1;7;0;1;-1.0;1;0;1;-1
202100004736;64;4;HENRI FAISANS;0;Inconnu;2;2;0;1;0;0;1;-1.0;1;0;1;30
202100021547;38;9;;-1;Inconnu;2;2;0;1;-1;-1;1;4.0;1;9;4;50
