id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
159A153;B01;3;7;0;2;2;1;1;0
130A136;A01;2;10;0;1;1;7;1;0
147A699;A01;0;7;0;2;3;15;1;0
107A100;A01;1;34;0;2;1;17;1;0
122A819;A01;0;7;0;2;1;15;1;0
176A334;A01;1;7;0;0;8;22;1;0
170A905;A01;3;7;0;2;6;19;1;0
201A077;B01;2;1;0;2;1;23;5;0
196A299;A01;2;7;4;2;3;1;1;0
155A466;A01;2;7;0;2;1;1;1;0
187A666;A01;3;7;0;1;3;26;1;0
146A930;A01;2;32;0;0;0;1;1;0
194A775;D01;1;7;0;2;1;1;1;0
147A787;B01;1;10;0;2;4;2;0;0
149A638;B01;2;33;0;2;1;1;3;0
196A652;A01;1;7;0;2;3;10;2;0
158A948;A01;1;10;0;2;1;16;1;0
171A522;A01;3;7;0;1;2;1;1;0
172A356;A01;1;1;1;1;2;1;5;0
181A358;B01;2;1;0;2;1;1;5;0
167A116;C01;2;7;0;2;4;0;1;0
114A725;B01;1;3;0;2;0;24;3;0
102A796;A01;2;33;3;0;7;17;1;0
143A227;A01;2;7;1;0;1;1;1;0
139A585;A01;2;30;0;2;7;19;1;0
191A930;A01;3;32;14;0;8;17;1;0
163A347;A01;1;7;0;2;5;0;1;0
184A016;A01;3;7;6;2;7;1;3;0
128A217;C01;1;10;0;2;4;2;1;0
109A161;A01;1;10;0;2;4;2;1;0
105A932;B01;1;7;0;2;4;23;1;0
171A090;B01;1;33;0;2;0;0;0;0
164A823;A01;1;7;0;2;1;1;1;0
149A706;A01;3;7;0;1;4;4;1;0
196A443;A01;3;7;0;1;3;9;1;0
169A647;B01;1;7;0;2;6;2;1;0
185A258;A01;1;7;0;1;3;2;1;0
187A634;A01;1;3;2;0;1;0;0;0
187A470;A01;3;7;0;2;2;15;2;0
121A807;B01;3;7;0;2;3;23;1;0
197A387;A01;2;50;0;2;2;17;3;0
158A784;B01;2;7;0;2;4;23;1;0
140A202;B01;1;33;0;2;2;3;1;0
114A647;A01;1;7;0;2;2;1;1;0
120A169;B01;3;7;0;2;2;17;1;0
134A852;B01;2;7;0;2;0;1;1;0
174A874;A01;1;7;9;2;2;1;1;0
195A028;A01;2;7;16;0;1;21;1;0
134A044;A01;2;7;0;0;2;19;1;0
116A754;A01;1;7;0;2;1;2;1;0
105A753;C01;2;7;0;2;0;2;1;0
140A835;A01;2;7;0;2;2;15;1;0
174A493;B01;1;7;0;2;1;15;1;0
127A546;A01;1;10;0;2;3;15;1;0
118A485;B01;1;7;0;2;8;1;1;0
159A137;B01;1;33;0;2;1;13;1;0
105A988;B01;1;7;0;2;4;24;1;0
118A319;A01;0;7;2;0;3;13;1;0
132A082;B01;2;33;0;2;1;26;1;0
193A675;A01;3;1;0;2;1;19;5;0
146A522;A01;1;33;0;2;1;13;1;0
180A429;A01;1;32;0;2;7;17;1;0
116A059;A01;0;7;2;0;1;1;1;0
161A363;A01;1;2;0;2;1;1;1;0
148A430;B01;2;80;0;2;8;1;3;0
172A847;A01;1;7;1;0;2;26;1;0
177A234;B01;3;7;0;2;1;1;1;0
146A329;B01;2;7;0;2;2;21;1;0
146A731;B01;3;7;0;2;7;26;1;0
189A875;C01;1;7;0;2;4;26;1;0
196A939;A01;1;33;0;6;1;1;1;0
135A478;A01;1;30;1;0;1;13;3;0
160A203;A01;1;7;0;2;2;17;1;0
200A399;A01;3;7;0;1;1;1;1;0
110A665;B01;0;34;0;2;1;1;1;0
152A008;B01;1;33;0;2;1;0;1;0
162A237;B01;2;7;3;2;6;11;1;0
146A151;A01;3;7;0;1;2;1;1;0
197A430;A01;1;50;0;0;0;25;3;0
186A709;B01;1;17;0;2;3;1;1;0
160A926;A01;2;7;0;1;2;1;1;0
125A629;B01;1;3;14;9;3;13;1;0
166A173;A01;2;7;1;0;1;0;1;0
186A036;B01;2;2;0;2;1;1;1;0
142A443;A01;2;80;0;2;1;1;3;0
125A107;B01;0;15;0;2;1;0;1;0
109A821;A01;2;7;0;2;2;15;1;0
154A771;B01;1;37;0;2;7;1;1;1
197A644;A01;1;7;0;2;3;1;1;0
182A041;A01;1;7;3;0;3;1;1;0
179A590;A01;3;33;0;2;2;3;1;0
183A477;B01;2;7;0;2;1;1;1;0
102A682;A01;1;7;0;1;3;1;1;0
147A806;A01;2;13;0;2;8;1;1;0
148A992;A01;1;7;2;0;1;13;1;0
115A097;A01;2;7;4;0;3;1;1;0
185A011;A01;2;7;0;2;3;13;1;0
148A762;A01;1;7;13;0;2;1;6;0
152A876;C01;2;7;0;2;7;1;1;0
138A179;B01;2;30;0;2;1;2;1;0
155A457;B01;1;7;0;2;2;1;1;0
173A393;A01;1;7;3;0;9;1;1;0
129A660;A01;1;33;4;0;8;1;1;0
187A256;A01;2;17;0;2;2;2;1;0
196A227;A01;2;7;0;1;3;1;1;0
188A985;A01;2;7;0;2;1;2;1;0
106A455;A01;2;10;0;2;2;2;1;0
195A594;A01;2;7;1;1;0;13;1;0
